# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/genes/Nothurs_palustris/ASSEMBLY_EVALUATION/N_palustris.fasta -o N_palustris.N_palustris.GEYJ01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	gb-GEYJ01034322.1-	1196.3	1906
EOG090X0007	Duplicated	gb-GEYJ01034323.1-	1195.9	1905
EOG090X0007	Duplicated	gb-GEYJ01034890.1-	1250.4	2733
EOG090X002Z	Fragmented	gb-GEYJ01026564.1-	78.1	82
EOG090X005G	Complete	gb-GEYJ01032022.1-	2792.6	1956
EOG090X005Q	Duplicated	gb-GEYJ01030352.1-	1290.4	1175
EOG090X005Q	Duplicated	gb-GEYJ01030353.1-	1291.3	1118
EOG090X005Q	Duplicated	gb-GEYJ01030354.1-	1166.0	1119
EOG090X0064	Complete	gb-GEYJ01098842.1-	3097.0	1509
EOG090X00BV	Duplicated	gb-GEYJ01057923.1-	1208.2	976
EOG090X00BV	Duplicated	gb-GEYJ01057924.1-	1208.3	976
EOG090X00BY	Complete	gb-GEYJ01014204.1-	2688.9	1646
EOG090X00DN	Duplicated	gb-GEYJ01014591.1-	1492.4	1043
EOG090X00DN	Duplicated	gb-GEYJ01014593.1-	1493.2	1043
EOG090X00DN	Duplicated	gb-GEYJ01014594.1-	1492.7	1043
EOG090X00E0	Complete	gb-GEYJ01026665.1-	656.8	895
EOG090X00FC	Duplicated	gb-GEYJ01091819.1-	1025.8	758
EOG090X00FC	Duplicated	gb-GEYJ01091822.1-	1025.7	758
EOG090X00FC	Duplicated	gb-GEYJ01091823.1-	1025.7	758
EOG090X00GC	Duplicated	gb-GEYJ01033946.1-	1920.2	862
EOG090X00GC	Duplicated	gb-GEYJ01033947.1-	1920.7	862
EOG090X00GC	Duplicated	gb-GEYJ01033948.1-	1920.4	862
EOG090X00GO	Complete	gb-GEYJ01000950.1-	2212.4	1030
EOG090X00HD	Complete	gb-GEYJ01002938.1-	1462.6	960
EOG090X00HY	Complete	gb-GEYJ01006864.1-	1741.3	1083
EOG090X00I4	Duplicated	gb-GEYJ01016587.1-	875.7	730
EOG090X00I4	Duplicated	gb-GEYJ01016588.1-	875.7	730
EOG090X00I4	Duplicated	gb-GEYJ01016589.1-	875.5	730
EOG090X00J5	Complete	gb-GEYJ01010016.1-	1510.9	932
EOG090X00JH	Duplicated	gb-GEYJ01118024.1-	550.1	317
EOG090X00JH	Duplicated	gb-GEYJ01118025.1-	550.8	317
EOG090X00JH	Duplicated	gb-GEYJ01118027.1-	550.6	317
EOG090X00LI	Complete	gb-GEYJ01091186.1-	1737.6	1065
EOG090X00M6	Complete	gb-GEYJ01090473.1-	1437.4	915
EOG090X00MP	Duplicated	gb-GEYJ01007179.1-	858.5	528
EOG090X00MP	Duplicated	gb-GEYJ01007181.1-	857.4	528
EOG090X00NX	Duplicated	gb-GEYJ01024915.1-	637.3	452
EOG090X00NX	Duplicated	gb-GEYJ01024915.1-	703.8	421
EOG090X00PD	Duplicated	gb-GEYJ01118029.1-	464.4	823
EOG090X00PD	Duplicated	gb-GEYJ01118030.1-	478.1	854
EOG090X00QE	Complete	gb-GEYJ01086748.1-	911.4	709
EOG090X00QS	Duplicated	gb-GEYJ01096275.1-	714.1	616
EOG090X00QS	Duplicated	gb-GEYJ01096276.1-	688.7	583
EOG090X00RF	Complete	gb-GEYJ01097291.1-	1294.3	1424
EOG090X00RJ	Complete	gb-GEYJ01003886.1-	1634.6	866
EOG090X00SQ	Duplicated	gb-GEYJ01057537.1-	903.1	770
EOG090X00SQ	Duplicated	gb-GEYJ01057538.1-	903.1	772
EOG090X00ST	Duplicated	gb-GEYJ01026523.1-	1024.3	718
EOG090X00ST	Duplicated	gb-GEYJ01026525.1-	1021.2	713
EOG090X00TB	Duplicated	gb-GEYJ01117510.1-	1154.0	1305
EOG090X00TB	Duplicated	gb-GEYJ01117512.1-	1154.6	1305
EOG090X00TB	Duplicated	gb-GEYJ01117513.1-	1153.9	1306
EOG090X00U2	Complete	gb-GEYJ01031306.1-	631.9	563
EOG090X00U8	Complete	gb-GEYJ01019224.1-	921.1	562
EOG090X00V6	Duplicated	gb-GEYJ01096297.1-	1714.1	865
EOG090X00V6	Duplicated	gb-GEYJ01096298.1-	1713.9	865
EOG090X00V6	Duplicated	gb-GEYJ01096299.1-	1713.8	865
EOG090X00VK	Missing
EOG090X00WU	Duplicated	gb-GEYJ01096184.1-	1114.3	717
EOG090X00WU	Duplicated	gb-GEYJ01096185.1-	1114.3	717
EOG090X00X3	Duplicated	gb-GEYJ01021217.1-	1099.5	776
EOG090X00X3	Duplicated	gb-GEYJ01021218.1-	1099.4	777
EOG090X0109	Complete	gb-GEYJ01096905.1-	1453.9	757
EOG090X010S	Duplicated	gb-GEYJ01058360.1-	1505.3	1226
EOG090X010S	Duplicated	gb-GEYJ01058361.1-	1458.7	1156
EOG090X010S	Duplicated	gb-GEYJ01058362.1-	1504.3	1223
EOG090X0131	Complete	gb-GEYJ01003663.1-	445.1	420
EOG090X013U	Complete	gb-GEYJ01011460.1-	276.5	504
EOG090X0141	Complete	gb-GEYJ01026533.1-	463.4	270
EOG090X0143	Duplicated	gb-GEYJ01019589.1-	1120.7	867
EOG090X0143	Duplicated	gb-GEYJ01019590.1-	1121.0	867
EOG090X014A	Complete	gb-GEYJ01020621.1-	1291.5	753
EOG090X014D	Complete	gb-GEYJ01022970.1-	730.1	744
EOG090X014G	Complete	gb-GEYJ01072122.1-	1409.3	824
EOG090X0154	Complete	gb-GEYJ01093556.1-	1070.5	878
EOG090X015P	Complete	gb-GEYJ01009063.1-	904.9	677
EOG090X017M	Complete	gb-GEYJ01015478.1-	523.0	570
EOG090X017N	Duplicated	gb-GEYJ01023584.1-	188.7	386
EOG090X017N	Duplicated	gb-GEYJ01023585.1-	188.9	386
EOG090X017X	Complete	gb-GEYJ01112511.1-	1384.6	826
EOG090X0181	Complete	gb-GEYJ01092526.1-	991.4	668
EOG090X018J	Duplicated	gb-GEYJ01116093.1-	623.4	463
EOG090X018J	Duplicated	gb-GEYJ01116094.1-	645.0	481
EOG090X019S	Duplicated	gb-GEYJ01030369.1-	392.1	632
EOG090X019S	Duplicated	gb-GEYJ01030370.1-	392.7	632
EOG090X019S	Duplicated	gb-GEYJ01030371.1-	391.6	632
EOG090X01A3	Complete	gb-GEYJ01024373.1-	920.9	616
EOG090X01AN	Duplicated	gb-GEYJ01018838.1-	617.0	476
EOG090X01AN	Duplicated	gb-GEYJ01018840.1-	606.6	481
EOG090X01AN	Duplicated	gb-GEYJ01018844.1-	606.8	481
EOG090X01B4	Complete	gb-GEYJ01057988.1-	1189.0	664
EOG090X01BP	Duplicated	gb-GEYJ01001306.1-	211.2	207
EOG090X01BP	Duplicated	gb-GEYJ01001307.1-	211.2	207
EOG090X01BU	Complete	gb-GEYJ01017414.1-	764.2	673
EOG090X01EL	Duplicated	gb-GEYJ01019119.1-	1008.8	637
EOG090X01EL	Duplicated	gb-GEYJ01019120.1-	1009.0	637
EOG090X01EL	Duplicated	gb-GEYJ01019121.1-	1008.4	637
EOG090X01EZ	Complete	gb-GEYJ01002217.1-	1116.6	641
EOG090X01F7	Complete	gb-GEYJ01078760.1-	678.3	652
EOG090X01FD	Complete	gb-GEYJ01016682.1-	737.2	763
EOG090X01FO	Complete	gb-GEYJ01020012.1-	1404.2	738
EOG090X01G2	Complete	gb-GEYJ01022308.1-	982.8	608
EOG090X01H4	Duplicated	gb-GEYJ01006254.1-	380.8	518
EOG090X01H4	Duplicated	gb-GEYJ01006255.1-	380.7	518
EOG090X01HT	Complete	gb-GEYJ01025101.1-	1059.4	628
EOG090X01LO	Complete	gb-GEYJ01026990.1-	481.9	312
EOG090X01LQ	Complete	gb-GEYJ01032691.1-	262.4	219
EOG090X01LU	Complete	gb-GEYJ01068076.1-	1210.4	608
EOG090X01LY	Complete	gb-GEYJ01094799.1-	647.7	478
EOG090X01MR	Complete	gb-GEYJ01016741.1-	477.0	565
EOG090X01NK	Duplicated	gb-GEYJ01117495.1-	969.1	687
EOG090X01NK	Duplicated	gb-GEYJ01117496.1-	971.7	679
EOG090X01NX	Complete	gb-GEYJ01109508.1-	1223.6	675
EOG090X01OH	Duplicated	gb-GEYJ01067027.1-	413.7	236
EOG090X01OH	Duplicated	gb-GEYJ01067028.1-	414.0	236
EOG090X01OT	Complete	gb-GEYJ01087806.1-	473.3	271
EOG090X01QS	Duplicated	gb-GEYJ01032547.1-	515.0	400
EOG090X01QS	Duplicated	gb-GEYJ01032548.1-	503.2	400
EOG090X01QX	Duplicated	gb-GEYJ01095673.1-	145.0	98
EOG090X01QX	Duplicated	gb-GEYJ01095674.1-	145.0	99
EOG090X01QX	Duplicated	gb-GEYJ01095677.1-	144.2	99
EOG090X01R0	Duplicated	gb-GEYJ01034516.1-	819.9	652
EOG090X01R0	Duplicated	gb-GEYJ01034518.1-	819.6	652
EOG090X01R1	Complete	gb-GEYJ01006995.1-	978.4	581
EOG090X01SN	Duplicated	gb-GEYJ01057844.1-	758.9	514
EOG090X01SN	Duplicated	gb-GEYJ01057845.1-	767.7	563
EOG090X01SN	Duplicated	gb-GEYJ01057846.1-	767.3	563
EOG090X01U4	Duplicated	gb-GEYJ01102235.1-	915.8	589
EOG090X01U4	Duplicated	gb-GEYJ01102238.1-	783.0	491
EOG090X01U4	Duplicated	gb-GEYJ01102240.1-	915.8	589
EOG090X01UE	Duplicated	gb-GEYJ01102616.1-	662.4	344
EOG090X01UE	Duplicated	gb-GEYJ01102617.1-	635.3	346
EOG090X01UE	Duplicated	gb-GEYJ01102618.1-	652.7	347
EOG090X01UY	Complete	gb-GEYJ01075913.1-	916.6	594
EOG090X01V1	Duplicated	gb-GEYJ01098460.1-	996.6	581
EOG090X01V1	Duplicated	gb-GEYJ01098461.1-	996.5	581
EOG090X01W2	Duplicated	gb-GEYJ01117907.1-	662.9	412
EOG090X01W2	Duplicated	gb-GEYJ01117910.1-	663.0	412
