# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/genes/Hypochthonius_rufulus/ASSEMBLY_EVALUATION/H_rufulus.fasta -o H_rufulus.H_rufulus.GEYP01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	gb-GEYP01013401.1-	158.9	423
EOG090X0007	Duplicated	gb-GEYP01013402.1-	157.7	422
EOG090X0007	Duplicated	gb-GEYP01013403.1-	158.1	422
EOG090X002Z	Missing
EOG090X005G	Complete	gb-GEYP01011935.1-	1324.2	801
EOG090X005Q	Missing
EOG090X0064	Complete	gb-GEYP01056880.1-	1931.7	914
EOG090X00BV	Complete	gb-GEYP01002115.1-	312.6	472
EOG090X00BY	Duplicated	gb-GEYP01001511.1-	501.1	645
EOG090X00BY	Duplicated	gb-GEYP01001512.1-	500.6	699
EOG090X00BY	Duplicated	gb-GEYP01001513.1-	501.1	645
EOG090X00DN	Complete	gb-GEYP01008237.1-	1349.6	950
EOG090X00E0	Complete	gb-GEYP01004914.1-	287.1	484
EOG090X00FC	Complete	gb-GEYP01051551.1-	926.8	493
EOG090X00GC	Duplicated	gb-GEYP01047419.1-	1012.9	455
EOG090X00GC	Duplicated	gb-GEYP01047419.1-	878.6	413
EOG090X00GO	Duplicated	gb-GEYP01043170.1-	1677.9	778
EOG090X00GO	Duplicated	gb-GEYP01043171.1-	1648.6	766
EOG090X00HD	Complete	gb-GEYP01001353.1-	1062.0	698
EOG090X00HY	Complete	gb-GEYP01000539.1-	1259.3	794
EOG090X00I4	Complete	gb-GEYP01051455.1-	847.3	723
EOG090X00J5	Complete	gb-GEYP01008966.1-	1015.0	686
EOG090X00JH	Duplicated	gb-GEYP01000269.1-	511.8	340
EOG090X00JH	Duplicated	gb-GEYP01000271.1-	512.7	326
EOG090X00LI	Complete	gb-GEYP01045741.1-	1450.6	788
EOG090X00M6	Complete	gb-GEYP01053791.1-	781.5	543
EOG090X00MP	Complete	gb-GEYP01039094.1-	415.7	231
EOG090X00NX	Complete	gb-GEYP01012312.1-	909.4	579
EOG090X00PD	Fragmented	gb-GEYP01054355.1-	213.3	260
EOG090X00QE	Complete	gb-GEYP01051168.1-	914.5	711
EOG090X00QS	Duplicated	gb-GEYP01047187.1-	249.0	239
EOG090X00QS	Duplicated	gb-GEYP01047188.1-	249.0	239
EOG090X00RF	Complete	gb-GEYP01006280.1-	778.0	735
EOG090X00RJ	Complete	gb-GEYP01008444.1-	1496.1	770
EOG090X00SQ	Complete	gb-GEYP01040287.1-	596.6	383
EOG090X00ST	Duplicated	gb-GEYP01044015.1-	539.8	323
EOG090X00ST	Duplicated	gb-GEYP01053501.1-	633.3	409
EOG090X00TB	Complete	gb-GEYP01051091.1-	1099.4	674
EOG090X00U2	Fragmented	gb-GEYP01005381.1-	327.3	327
EOG090X00U8	Complete	gb-GEYP01000835.1-	1299.3	859
EOG090X00V6	Duplicated	gb-GEYP01001799.1-	1714.9	865
EOG090X00V6	Duplicated	gb-GEYP01001800.1-	1714.8	865
EOG090X00V6	Duplicated	gb-GEYP01001801.1-	1715.7	865
EOG090X00VK	Missing
EOG090X00WU	Complete	gb-GEYP01053484.1-	619.9	430
EOG090X00X3	Duplicated	gb-GEYP01015519.1-	827.0	528
EOG090X00X3	Duplicated	gb-GEYP01015523.1-	949.0	635
EOG090X0109	Complete	gb-GEYP01058192.1-	1454.5	751
EOG090X010S	Fragmented	gb-GEYP01008239.1-	387.4	395
EOG090X0131	Complete	gb-GEYP01004186.1-	630.8	633
EOG090X013U	Fragmented	gb-GEYP01014507.1-	126.9	170
EOG090X0141	Missing
EOG090X0143	Duplicated	gb-GEYP01051666.1-	483.6	402
EOG090X0143	Duplicated	gb-GEYP01051667.1-	483.5	403
EOG090X014A	Complete	gb-GEYP01058432.1-	1103.1	577
EOG090X014D	Complete	gb-GEYP01057067.1-	286.3	307
EOG090X014G	Complete	gb-GEYP01045401.1-	1411.2	832
EOG090X0154	Complete	gb-GEYP01002962.1-	859.6	647
EOG090X015P	Complete	gb-GEYP01001042.1-	610.9	386
EOG090X017M	Complete	gb-GEYP01004624.1-	474.7	564
EOG090X017N	Fragmented	gb-GEYP01004121.1-	117.4	251
EOG090X017X	Complete	gb-GEYP01013191.1-	774.8	452
EOG090X0181	Complete	gb-GEYP01004658.1-	599.3	432
EOG090X018J	Duplicated	gb-GEYP01003959.1-	652.3	482
EOG090X018J	Duplicated	gb-GEYP01003960.1-	577.3	426
