# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/transcriptomes/GCF_000239435.1_ASM23943v1_genomic.fna -o T_urticae.T_urticae.GCF_000239435.1_ASM23943v1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m genome -c 8 --long -sp fly --augustus_parameters '--progress=true'
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090X0007	Complete	NW_015449955.1	522508	556553	2241.2	3102
EOG090X002Z	Missing
EOG090X005G	Complete	NW_015449966.1	565587	576784	2713.1	1878
EOG090X005Q	Complete	NW_015449940.1	1813688	1826430	1220.3	1294
EOG090X0064	Duplicated	NW_015449930.1	1916681	1924551	3119.6	1496
EOG090X0064	Duplicated	NW_015449932.1	88363	98307	3018.0	1496
EOG090X00BV	Complete	NW_015449931.1	2324571	2331291	1233.5	883
EOG090X00BY	Complete	NW_015449947.1	791370	804309	1629.5	1254
EOG090X00DN	Complete	NW_015449957.1	140158	143837	1380.7	1006
EOG090X00E0	Complete	NW_015449957.1	782147	791744	611.0	872
EOG090X00FC	Complete	NW_015449939.1	2110094	2118886	931.7	598
EOG090X00GC	Complete	NW_015449955.1	667427	674704	1901.8	863
EOG090X00GO	Complete	NW_015449936.1	3085606	3096704	2175.0	1022
EOG090X00HD	Complete	NW_015449939.1	1262898	1268492	1434.5	954
EOG090X00HY	Complete	NW_015449950.1	341094	349577	1735.5	1082
EOG090X00I4	Complete	NW_015449947.1	78039	85917	672.5	690
EOG090X00J5	Complete	NW_015449933.1	21835	30257	1499.2	902
EOG090X00JH	Complete	NW_015449962.1	80074	85033	551.5	310
EOG090X00LI	Complete	NW_015449930.1	291148	299149	1718.1	923
EOG090X00M6	Complete	NW_015449935.1	2100279	2105147	1442.3	916
EOG090X00MP	Complete	NW_015449930.1	1080167	1095482	861.6	528
EOG090X00NX	Complete	NW_015449937.1	3516984	3525227	1339.5	875
EOG090X00PD	Complete	NW_015449931.1	1221154	1225562	547.2	833
EOG090X00QE	Complete	NW_015449931.1	2689504	2696029	914.0	710
EOG090X00QS	Missing
EOG090X00RF	Complete	NW_015449939.1	515267	529043	1158.1	1392
EOG090X00RJ	Complete	NW_015449930.1	5194423	5200580	1588.6	834
EOG090X00SQ	Complete	NW_015449955.1	815466	823459	972.0	749
EOG090X00ST	Duplicated	NW_015449960.1	151275	159598	962.8	680
EOG090X00ST	Duplicated	NW_015449972.1	163429	170335	1068.4	713
EOG090X00TB	Complete	NW_015449940.1	791326	798882	1172.3	1506
EOG090X00U2	Complete	NW_015449931.1	5211722	5217128	677.2	585
EOG090X00U8	Complete	NW_015449930.1	4065758	4073510	1419.9	982
EOG090X00V6	Complete	NW_015449947.1	961466	966443	1716.2	865
EOG090X00VK	Missing
EOG090X00WU	Complete	NW_015449939.1	1704703	1712179	1132.7	717
EOG090X00X3	Complete	NW_015449950.1	524897	534342	819.9	565
EOG090X0109	Complete	NW_015449936.1	2168157	2174600	1417.0	751
EOG090X010S	Complete	NW_015449950.1	603045	616377	1354.4	1140
EOG090X0131	Complete	NW_015449935.1	2354764	2361510	633.0	648
EOG090X013U	Complete	NW_015449930.1	7023460	7030787	255.4	325
EOG090X0141	Complete	NW_015449953.1	817626	827849	477.3	273
EOG090X0143	Complete	NW_015449934.1	2514619	2541113	1087.2	807
EOG090X014A	Complete	NW_015449933.1	585450	595354	1102.4	634
EOG090X014D	Missing
EOG090X014G	Complete	NW_015449940.1	726302	746629	1346.4	793
EOG090X0154	Complete	NW_015449948.1	1350651	1356219	1048.2	901
EOG090X015P	Complete	NW_015449933.1	3366246	3377734	863.2	563
EOG090X017M	Complete	NW_015449931.1	4245591	4249696	479.9	396
EOG090X017N	Complete	NW_015449932.1	4293234	4302027	176.3	393
EOG090X017X	Complete	NW_015449931.1	5333179	5336009	1290.8	796
EOG090X0181	Complete	NW_015449942.1	773615	778787	938.4	672
EOG090X018J	Complete	NW_015449966.1	380719	385612	639.4	480
EOG090X019S	Complete	NW_015449939.1	1586796	1594124	185.2	245
