# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/genes/Steganacarus_magnus/ASSEMBLY_EVALUATION/S_magnus.fasta -o S_magnus.S_magnus.GEYQ01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	gb-GEYQ01015074.1-	1121.3	2045
EOG090X0007	Duplicated	gb-GEYQ01040771.1-	981.7	2385
EOG090X0007	Duplicated	gb-GEYQ01040772.1-	981.7	2380
EOG090X002Z	Missing
EOG090X005G	Complete	gb-GEYQ01039225.1-	2786.5	2053
EOG090X005Q	Duplicated	gb-GEYQ01032178.1-	1110.1	1003
EOG090X005Q	Duplicated	gb-GEYQ01032179.1-	1257.6	1177
EOG090X005Q	Duplicated	gb-GEYQ01032180.1-	1278.6	1177
EOG090X0064	Duplicated	gb-GEYQ01070928.1-	3109.4	1509
EOG090X0064	Duplicated	gb-GEYQ01070929.1-	2824.9	1350
EOG090X00BV	Duplicated	gb-GEYQ01024508.1-	1159.4	1017
EOG090X00BV	Duplicated	gb-GEYQ01024509.1-	1159.5	1017
EOG090X00BY	Complete	gb-GEYQ01016601.1-	2674.4	1646
EOG090X00DN	Duplicated	gb-GEYQ01021055.1-	903.0	716
EOG090X00DN	Duplicated	gb-GEYQ01021056.1-	902.0	664
EOG090X00DN	Duplicated	gb-GEYQ01021057.1-	903.5	717
EOG090X00E0	Complete	gb-GEYQ01012442.1-	512.3	655
EOG090X00FC	Duplicated	gb-GEYQ01035265.1-	1000.3	757
EOG090X00FC	Duplicated	gb-GEYQ01035266.1-	978.7	741
EOG090X00FC	Duplicated	gb-GEYQ01035269.1-	1000.0	758
EOG090X00GC	Duplicated	gb-GEYQ01023483.1-	1918.8	862
EOG090X00GC	Duplicated	gb-GEYQ01023484.1-	1920.1	862
EOG090X00GC	Duplicated	gb-GEYQ01023485.1-	1920.1	862
