# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/genes/Platynothrus_peltifer/ASSEMBLY_EVALUATION/P_peltifer.fasta -o P_peltifer.P_peltifer.GEYZ01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	gb-GEYZ01020347.1-	406.0	552
EOG090X0007	Duplicated	gb-GEYZ01025288.1-	468.9	1017
EOG090X0007	Duplicated	gb-GEYZ01072638.1-	403.5	478
EOG090X002Z	Missing
EOG090X005G	Complete	gb-GEYZ01020424.1-	2349.1	1162
EOG090X005Q	Duplicated	gb-GEYZ01072216.1-	1175.2	1119
EOG090X005Q	Duplicated	gb-GEYZ01072219.1-	1171.9	1062
EOG090X0064	Complete	gb-GEYZ01029345.1-	3102.9	1509
EOG090X00BV	Complete	gb-GEYZ01071566.1-	710.0	527
EOG090X00BY	Complete	gb-GEYZ01035716.1-	2689.3	1646
EOG090X00DN	Complete	gb-GEYZ01035442.1-	1157.7	793
EOG090X00E0	Fragmented	gb-GEYZ01018881.1-	250.3	221
EOG090X00FC	Duplicated	gb-GEYZ01031163.1-	1022.1	717
EOG090X00FC	Duplicated	gb-GEYZ01031167.1-	1022.2	717
EOG090X00GC	Complete	gb-GEYZ01075537.1-	1917.6	862
EOG090X00GO	Complete	gb-GEYZ01034681.1-	2161.6	1005
EOG090X00HD	Complete	gb-GEYZ01029690.1-	1455.4	945
EOG090X00HY	Complete	gb-GEYZ01004283.1-	723.5	480
EOG090X00I4	Complete	gb-GEYZ01032394.1-	877.2	721
EOG090X00J5	Duplicated	gb-GEYZ01033264.1-	416.0	766
EOG090X00J5	Duplicated	gb-GEYZ01033265.1-	416.1	766
EOG090X00JH	Duplicated	gb-GEYZ01021414.1-	551.1	294
EOG090X00JH	Duplicated	gb-GEYZ01021415.1-	550.7	294
EOG090X00LI	Complete	gb-GEYZ01032770.1-	1738.1	965
EOG090X00M6	Complete	gb-GEYZ01004513.1-	539.2	282
EOG090X00MP	Complete	gb-GEYZ01084484.1-	406.8	221
EOG090X00NX	Duplicated	gb-GEYZ01030988.1-	1319.5	843
EOG090X00NX	Duplicated	gb-GEYZ01030989.1-	1354.8	869
EOG090X00PD	Fragmented	gb-GEYZ01066456.1-	180.8	256
EOG090X00QE	Complete	gb-GEYZ01074638.1-	906.4	685
