# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/transcriptomes/GEYB01.1.fsa_nt -o H_gibba.H_gibba.GEYB01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	GEYB01033939.1	935.0	1394
EOG090X0007	Duplicated	GEYB01033940.1	962.1	1412
EOG090X0007	Duplicated	GEYB01100195.1	842.9	1907
EOG090X002Z	Complete	GEYB01062333.1	491.5	435
EOG090X005G	Complete	GEYB01122783.1	2784.8	1923
EOG090X005Q	Duplicated	GEYB01053242.1	1286.9	1169
EOG090X005Q	Duplicated	GEYB01053244.1	1283.7	1118
EOG090X005Q	Duplicated	GEYB01053246.1	1286.7	1169
EOG090X0064	Complete	GEYB01115067.1	3101.6	1509
EOG090X00BV	Complete	GEYB01123552.1	1198.6	986
EOG090X00BY	Complete	GEYB01056597.1	2666.1	1645
EOG090X00DN	Duplicated	GEYB01048497.1	1490.5	1043
EOG090X00DN	Duplicated	GEYB01048498.1	1490.5	1043
EOG090X00DN	Duplicated	GEYB01048499.1	1490.2	1043
EOG090X00E0	Duplicated	GEYB01115114.1	645.2	871
EOG090X00E0	Duplicated	GEYB01115115.1	615.9	806
EOG090X00E0	Duplicated	GEYB01115116.1	645.8	871
EOG090X00FC	Duplicated	GEYB01043676.1	1023.5	679
EOG090X00FC	Duplicated	GEYB01043677.1	1002.3	679
EOG090X00FC	Duplicated	GEYB01043678.1	1023.5	679
EOG090X00GC	Duplicated	GEYB01128047.1	1906.9	862
EOG090X00GC	Duplicated	GEYB01128048.1	1906.4	862
EOG090X00GC	Duplicated	GEYB01128050.1	1906.7	862
EOG090X00GO	Complete	GEYB01093268.1	2204.5	1030
EOG090X00HD	Duplicated	GEYB01073433.1	1356.1	887
EOG090X00HD	Duplicated	GEYB01073434.1	1452.6	960
EOG090X00HY	Duplicated	GEYB01040180.1	1738.4	1083
EOG090X00HY	Duplicated	GEYB01040181.1	1627.7	1018
EOG090X00I4	Complete	GEYB01016363.1	870.6	744
EOG090X00J5	Complete	GEYB01063204.1	1205.2	702
EOG090X00JH	Duplicated	GEYB01028960.1	542.2	309
EOG090X00JH	Duplicated	GEYB01028962.1	541.3	309
EOG090X00LI	Duplicated	GEYB01096588.1	1728.1	941
EOG090X00LI	Duplicated	GEYB01096589.1	1727.8	941
EOG090X00M6	Complete	GEYB01079937.1	1431.3	917
EOG090X00MP	Duplicated	GEYB01025653.1	852.3	528
EOG090X00MP	Duplicated	GEYB01025654.1	851.5	528
EOG090X00MP	Duplicated	GEYB01025656.1	854.9	530
EOG090X00NX	Duplicated	GEYB01056311.1	1358.8	865
EOG090X00NX	Duplicated	GEYB01056312.1	1326.6	840
EOG090X00NX	Duplicated	GEYB01056313.1	1358.8	865
EOG090X00PD	Complete	GEYB01089657.1	455.7	821
EOG090X00QE	Complete	GEYB01107241.1	906.7	710
EOG090X00QS	Complete	GEYB01121555.1	699.2	645
EOG090X00RF	Duplicated	GEYB01016103.1	1158.5	1052
EOG090X00RF	Duplicated	GEYB01043169.1	1205.7	1249
EOG090X00RJ	Duplicated	GEYB01016012.1	1621.4	863
EOG090X00RJ	Duplicated	GEYB01016013.1	1621.7	863
EOG090X00RJ	Duplicated	GEYB01016014.1	1614.2	990
EOG090X00SQ	Duplicated	GEYB01001480.1	876.7	693
EOG090X00SQ	Duplicated	GEYB01001481.1	904.3	745
EOG090X00ST	Duplicated	GEYB01044305.1	1013.0	711
EOG090X00ST	Duplicated	GEYB01044307.1	1029.1	711
EOG090X00ST	Duplicated	GEYB01044308.1	1032.3	715
EOG090X00TB	Duplicated	GEYB01096178.1	1141.2	1302
EOG090X00TB	Duplicated	GEYB01096179.1	1141.7	1308
EOG090X00U2	Complete	GEYB01035090.1	636.2	614
EOG090X00U8	Complete	GEYB01107210.1	1483.7	982
EOG090X00V6	Duplicated	GEYB01089535.1	1712.1	865
EOG090X00V6	Duplicated	GEYB01089536.1	1711.4	865
EOG090X00V6	Duplicated	GEYB01089537.1	1712.1	865
EOG090X00VK	Missing
EOG090X00WU	Duplicated	GEYB01100797.1	1114.6	717
EOG090X00WU	Duplicated	GEYB01100800.1	1115.8	717
EOG090X00X3	Complete	GEYB01007534.1	1081.7	752
EOG090X0109	Complete	GEYB01081380.1	1452.4	757
EOG090X010S	Complete	GEYB01136421.1	1510.2	1214
EOG090X0131	Duplicated	GEYB01035867.1	582.0	548
EOG090X0131	Duplicated	GEYB01035868.1	632.8	647
EOG090X0131	Duplicated	GEYB01035869.1	633.0	654
EOG090X013U	Duplicated	GEYB01004043.1	247.9	394
EOG090X013U	Duplicated	GEYB01004044.1	279.3	409
EOG090X0141	Duplicated	GEYB01041995.1	455.7	270
EOG090X0141	Duplicated	GEYB01041996.1	455.8	270
EOG090X0141	Duplicated	GEYB01041997.1	455.7	270
EOG090X0143	Duplicated	GEYB01115808.1	1064.4	750
EOG090X0143	Duplicated	GEYB01115809.1	1020.9	708
EOG090X014A	Duplicated	GEYB01089254.1	1288.1	751
EOG090X014A	Duplicated	GEYB01089255.1	1290.3	751
EOG090X014D	Duplicated	GEYB01034945.1	159.7	768
EOG090X014D	Duplicated	GEYB01034946.1	160.1	768
EOG090X014G	Complete	GEYB01081741.1	1401.7	842
EOG090X0154	Complete	GEYB01019342.1	1071.4	891
EOG090X015P	Complete	GEYB01114595.1	922.3	618
EOG090X017M	Complete	GEYB01042953.1	523.9	593
EOG090X017N	Complete	GEYB01137306.1	185.0	465
EOG090X017X	Complete	GEYB01104770.1	1387.3	797
EOG090X0181	Complete	GEYB01048258.1	976.4	674
EOG090X018J	Complete	GEYB01030320.1	641.4	480
EOG090X019S	Duplicated	GEYB01085658.1	238.7	558
EOG090X019S	Duplicated	GEYB01085659.1	238.9	558
EOG090X019S	Duplicated	GEYB01085660.1	238.9	558
EOG090X01A3	Complete	GEYB01021151.1	912.0	614
EOG090X01AN	Duplicated	GEYB01092058.1	573.8	504
EOG090X01AN	Duplicated	GEYB01092061.1	602.8	488
EOG090X01B4	Complete	GEYB01007834.1	1192.5	663
EOG090X01BP	Duplicated	GEYB01058640.1	205.1	233
EOG090X01BP	Duplicated	GEYB01058641.1	208.9	199
EOG090X01BU	Duplicated	GEYB01141874.1	746.5	684
EOG090X01BU	Duplicated	GEYB01141875.1	676.9	638
EOG090X01EL	Duplicated	GEYB01121424.1	1000.0	657
EOG090X01EL	Duplicated	GEYB01121425.1	999.8	658
EOG090X01EL	Duplicated	GEYB01121426.1	999.9	658
EOG090X01EZ	Complete	GEYB01109646.1	1107.5	642
EOG090X01F7	Complete	GEYB01084006.1	707.3	667
EOG090X01FD	Complete	GEYB01042786.1	730.0	749
EOG090X01FO	Complete	GEYB01056538.1	1402.0	738
EOG090X01G2	Complete	GEYB01003932.1	976.4	608
EOG090X01H4	Duplicated	GEYB01056283.1	382.4	515
EOG090X01H4	Duplicated	GEYB01056284.1	382.7	515
EOG090X01HT	Duplicated	GEYB01081722.1	1054.8	643
EOG090X01HT	Duplicated	GEYB01081723.1	1054.6	643
EOG090X01LO	Duplicated	GEYB01086238.1	477.7	284
EOG090X01LO	Duplicated	GEYB01086239.1	478.0	284
EOG090X01LO	Duplicated	GEYB01086240.1	481.3	284
EOG090X01LQ	Duplicated	GEYB01038932.1	262.6	218
EOG090X01LQ	Duplicated	GEYB01038933.1	264.5	218
EOG090X01LU	Duplicated	GEYB01057135.1	1215.5	607
EOG090X01LU	Duplicated	GEYB01057136.1	1215.4	607
EOG090X01LY	Complete	GEYB01119584.1	637.7	474
EOG090X01MR	Complete	GEYB01082798.1	426.2	567
EOG090X01NK	Duplicated	GEYB01113231.1	959.5	687
EOG090X01NK	Duplicated	GEYB01113232.1	957.2	688
EOG090X01NK	Duplicated	GEYB01113233.1	952.4	675
EOG090X01NX	Complete	GEYB01091166.1	1214.3	675
EOG090X01OH	Duplicated	GEYB01141379.1	413.4	235
EOG090X01OH	Duplicated	GEYB01141380.1	413.1	235
EOG090X01OH	Duplicated	GEYB01141381.1	413.2	235
EOG090X01OT	Duplicated	GEYB01015278.1	465.9	272
EOG090X01OT	Duplicated	GEYB01015279.1	453.7	306
EOG090X01OT	Duplicated	GEYB01015280.1	465.5	363
EOG090X01QS	Complete	GEYB01108119.1	513.8	365
EOG090X01QX	Duplicated	GEYB01113419.1	152.4	169
EOG090X01QX	Duplicated	GEYB01113420.1	152.3	169
EOG090X01R0	Duplicated	GEYB01081416.1	215.3	499
EOG090X01R0	Duplicated	GEYB01081417.1	215.2	499
EOG090X01R1	Complete	GEYB01077615.1	981.8	581
EOG090X01SN	Duplicated	GEYB01096831.1	754.7	635
EOG090X01SN	Duplicated	GEYB01096833.1	764.8	523
EOG090X01SN	Duplicated	GEYB01096834.1	764.4	522
EOG090X01U4	Duplicated	GEYB01138392.1	914.6	589
EOG090X01U4	Duplicated	GEYB01138393.1	914.3	589
EOG090X01U4	Duplicated	GEYB01138394.1	914.8	589
EOG090X01UE	Duplicated	GEYB01031608.1	1004.2	574
EOG090X01UE	Duplicated	GEYB01031609.1	993.9	574
EOG090X01UY	Complete	GEYB01007624.1	829.3	540
EOG090X01V1	Complete	GEYB01074330.1	980.0	572
EOG090X01W2	Duplicated	GEYB01009800.1	664.2	442
EOG090X01W2	Duplicated	GEYB01009801.1	664.3	442
EOG090X01W2	Duplicated	GEYB01009802.1	664.5	442
EOG090X01XB	Duplicated	GEYB01027524.1	235.0	261
EOG090X01XB	Duplicated	GEYB01027525.1	235.1	261
EOG090X01YQ	Complete	GEYB01006571.1	873.7	560
EOG090X0205	Complete	GEYB01011156.1	297.9	230
EOG090X020Y	Duplicated	GEYB01062211.1	246.8	141
EOG090X020Y	Duplicated	GEYB01062212.1	246.8	141
EOG090X020Z	Complete	GEYB01030591.1	308.0	221
EOG090X021B	Complete	GEYB01005166.1	421.2	450
EOG090X023B	Duplicated	GEYB01090206.1	595.8	569
EOG090X023B	Duplicated	GEYB01090207.1	562.3	571
EOG090X023B	Duplicated	GEYB01090208.1	595.5	568
EOG090X024P	Complete	GEYB01014207.1	827.7	639
EOG090X0266	Complete	GEYB01082674.1	193.7	404
EOG090X0267	Complete	GEYB01140515.1	586.4	601
EOG090X026K	Complete	GEYB01017562.1	904.7	585
EOG090X026V	Duplicated	GEYB01000391.1	223.9	431
EOG090X026V	Duplicated	GEYB01000392.1	224.3	371
EOG090X026V	Duplicated	GEYB01000395.1	224.3	462
EOG090X0272	Complete	GEYB01030896.1	541.0	403
EOG090X0279	Duplicated	GEYB01026239.1	935.4	527
EOG090X0279	Duplicated	GEYB01026240.1	935.3	527
EOG090X027A	Complete	GEYB01032626.1	661.1	553
EOG090X027R	Complete	GEYB01043231.1	934.0	554
EOG090X027U	Duplicated	GEYB01045006.1	332.1	536
EOG090X027U	Duplicated	GEYB01045008.1	332.2	535
EOG090X027U	Duplicated	GEYB01045009.1	331.7	535
EOG090X0289	Complete	GEYB01037752.1	466.4	520
EOG090X028A	Complete	GEYB01024055.1	568.7	479
EOG090X028B	Complete	GEYB01089495.1	317.5	393
EOG090X028J	Complete	GEYB01089873.1	454.4	383
EOG090X0294	Duplicated	GEYB01035066.1	1080.6	631
EOG090X0294	Duplicated	GEYB01035070.1	1080.6	631
EOG090X0294	Duplicated	GEYB01035071.1	1080.7	631
EOG090X0296	Duplicated	GEYB01115628.1	815.8	641
EOG090X0296	Duplicated	GEYB01115632.1	814.9	631
EOG090X02BU	Complete	GEYB01002567.1	822.4	510
EOG090X02BW	Duplicated	GEYB01008917.1	644.1	538
EOG090X02BW	Duplicated	GEYB01008918.1	643.8	538
EOG090X02BW	Duplicated	GEYB01008919.1	644.2	538
EOG090X02C6	Complete	GEYB01139390.1	691.2	493
EOG090X02CC	Duplicated	GEYB01044014.1	793.0	548
EOG090X02CC	Duplicated	GEYB01044016.1	930.7	632
EOG090X02D0	Complete	GEYB01075238.1	98.8	168
EOG090X02DA	Duplicated	GEYB01011566.1	748.0	592
EOG090X02DA	Duplicated	GEYB01011567.1	747.5	593
EOG090X02DA	Duplicated	GEYB01011570.1	746.9	590
EOG090X02DF	Complete	GEYB01010022.1	993.5	491
EOG090X02DX	Duplicated	GEYB01106111.1	582.0	346
EOG090X02DX	Duplicated	GEYB01106112.1	581.5	346
EOG090X02DZ	Duplicated	GEYB01044180.1	886.3	617
EOG090X02DZ	Duplicated	GEYB01044181.1	886.5	617
EOG090X02EM	Complete	GEYB01092192.1	577.1	615
EOG090X02EP	Duplicated	GEYB01051904.1	836.0	518
EOG090X02EP	Duplicated	GEYB01051905.1	836.5	518
EOG090X02FO	Duplicated	GEYB01013349.1	752.8	445
EOG090X02FO	Duplicated	GEYB01013350.1	753.1	445
EOG090X02FO	Duplicated	GEYB01013351.1	752.8	445
EOG090X02G1	Complete	GEYB01090377.1	816.0	636
EOG090X02H3	Complete	GEYB01101832.1	187.2	249
EOG090X02H9	Complete	GEYB01099188.1	726.3	717
EOG090X02HV	Duplicated	GEYB01124447.1	669.0	629
EOG090X02HV	Duplicated	GEYB01124448.1	668.6	629
EOG090X02HV	Duplicated	GEYB01124451.1	667.8	629
EOG090X02I4	Duplicated	GEYB01116922.1	692.8	431
EOG090X02I4	Duplicated	GEYB01116923.1	753.9	461
EOG090X02I4	Duplicated	GEYB01116924.1	753.4	461
EOG090X02IK	Complete	GEYB01132180.1	454.9	351
EOG090X02IW	Complete	GEYB01074195.1	279.6	232
EOG090X02IY	Duplicated	GEYB01094050.1	409.5	406
EOG090X02IY	Duplicated	GEYB01094051.1	409.1	406
EOG090X02J8	Missing
EOG090X02LG	Missing
EOG090X02LQ	Complete	GEYB01097911.1	790.3	549
EOG090X02LT	Complete	GEYB01016102.1	523.6	426
EOG090X02MG	Complete	GEYB01033125.1	456.5	462
EOG090X02MW	Duplicated	GEYB01091283.1	382.6	427
EOG090X02MW	Duplicated	GEYB01091284.1	382.7	427
EOG090X02NT	Duplicated	GEYB01012088.1	693.9	603
EOG090X02NT	Duplicated	GEYB01012093.1	693.6	604
EOG090X02NT	Duplicated	GEYB01012096.1	690.6	620
EOG090X02PU	Complete	GEYB01012704.1	837.9	519
EOG090X02QS	Duplicated	GEYB01007548.1	683.2	450
EOG090X02QS	Duplicated	GEYB01007549.1	792.9	491
EOG090X02QX	Duplicated	GEYB01112344.1	842.4	556
EOG090X02QX	Duplicated	GEYB01112345.1	842.4	556
EOG090X02RM	Duplicated	GEYB01089232.1	297.6	292
EOG090X02RM	Duplicated	GEYB01089233.1	273.6	253
EOG090X02RQ	Complete	GEYB01091134.1	802.8	456
EOG090X02S0	Complete	GEYB01081881.1	635.2	590
EOG090X02SD	Duplicated	GEYB01057073.1	530.3	524
EOG090X02SD	Duplicated	GEYB01057074.1	530.2	524
EOG090X02SJ	Complete	GEYB01140560.1	571.7	630
EOG090X02T5	Complete	GEYB01138768.1	815.3	432
EOG090X02VY	Complete	GEYB01074765.1	691.8	627
EOG090X02WG	Duplicated	GEYB01055860.1	770.8	648
EOG090X02WG	Duplicated	GEYB01055861.1	770.4	648
EOG090X02WG	Duplicated	GEYB01055862.1	771.3	648
EOG090X02Z1	Complete	GEYB01119617.1	790.9	708
EOG090X02ZJ	Complete	GEYB01044366.1	274.0	235
EOG090X0302	Complete	GEYB01076616.1	830.2	463
EOG090X030C	Complete	GEYB01107997.1	721.7	580
EOG090X030S	Complete	GEYB01009157.1	848.1	500
EOG090X0318	Complete	GEYB01108886.1	518.3	360
EOG090X031T	Complete	GEYB01102019.1	432.5	341
EOG090X0324	Duplicated	GEYB01032628.1	486.8	417
EOG090X0324	Duplicated	GEYB01032629.1	488.4	436
EOG090X0324	Duplicated	GEYB01032630.1	488.1	436
EOG090X032C	Complete	GEYB01123249.1	671.6	445
EOG090X032R	Duplicated	GEYB01000726.1	643.4	422
EOG090X032R	Duplicated	GEYB01000727.1	643.4	422
EOG090X033I	Duplicated	GEYB01005333.1	765.5	455
EOG090X033I	Duplicated	GEYB01005334.1	833.0	487
EOG090X033O	Duplicated	GEYB01006352.1	571.1	364
EOG090X033O	Duplicated	GEYB01006354.1	571.6	364
EOG090X033O	Duplicated	GEYB01006355.1	572.0	364
EOG090X0363	Complete	GEYB01004372.1	758.9	486
EOG090X0364	Complete	GEYB01044827.1	563.7	391
EOG090X036X	Complete	GEYB01103458.1	512.5	391
EOG090X037B	Duplicated	GEYB01122880.1	301.2	315
EOG090X037B	Duplicated	GEYB01122881.1	301.5	316
EOG090X037B	Duplicated	GEYB01122885.1	301.5	316
EOG090X037N	Complete	GEYB01056956.1	562.3	448
EOG090X0398	Duplicated	GEYB01034917.1	199.4	171
EOG090X0398	Duplicated	GEYB01034921.1	199.0	171
EOG090X0398	Duplicated	GEYB01034923.1	199.3	171
EOG090X03A4	Duplicated	GEYB01099602.1	390.6	351
EOG090X03A4	Duplicated	GEYB01099603.1	388.5	366
EOG090X03AJ	Duplicated	GEYB01093649.1	538.5	451
EOG090X03AJ	Duplicated	GEYB01093650.1	556.0	443
EOG090X03AK	Complete	GEYB01008571.1	795.6	492
EOG090X03B0	Duplicated	GEYB01003639.1	699.6	378
EOG090X03B0	Duplicated	GEYB01003642.1	752.1	414
EOG090X03B0	Duplicated	GEYB01003644.1	705.7	403
EOG090X03B7	Complete	GEYB01089845.1	693.0	552
EOG090X03CE	Complete	GEYB01057650.1	580.7	469
EOG090X03DA	Complete	GEYB01030822.1	914.7	445
EOG090X03DI	Complete	GEYB01035105.1	724.5	677
EOG090X03EV	Complete	GEYB01132385.1	425.8	363
EOG090X03FQ	Duplicated	GEYB01013878.1	273.8	401
EOG090X03FQ	Duplicated	GEYB01013879.1	286.9	434
EOG090X03FQ	Duplicated	GEYB01013880.1	287.1	434
EOG090X03G1	Duplicated	GEYB01082593.1	646.2	418
EOG090X03G1	Duplicated	GEYB01082594.1	622.1	418
EOG090X03G5	Complete	GEYB01137832.1	332.9	266
EOG090X03GO	Duplicated	GEYB01097331.1	756.6	611
EOG090X03GO	Duplicated	GEYB01097332.1	807.2	647
EOG090X03H5	Duplicated	GEYB01086513.1	449.3	359
EOG090X03H5	Duplicated	GEYB01086514.1	448.0	359
EOG090X03I5	Duplicated	GEYB01065161.1	278.7	285
EOG090X03I5	Duplicated	GEYB01138873.1	260.5	350
EOG090X03JL	Duplicated	GEYB01017615.1	741.6	447
EOG090X03JL	Duplicated	GEYB01017616.1	742.6	447
EOG090X03K5	Duplicated	GEYB01115659.1	513.4	312
EOG090X03K5	Duplicated	GEYB01115666.1	508.7	311
EOG090X03K5	Duplicated	GEYB01115667.1	509.0	311
EOG090X03KG	Duplicated	GEYB01114056.1	226.9	373
EOG090X03KG	Duplicated	GEYB01115066.1	236.3	317
EOG090X03KK	Duplicated	GEYB01007666.1	440.5	385
EOG090X03KK	Duplicated	GEYB01007667.1	439.3	385
EOG090X03KK	Duplicated	GEYB01007668.1	440.5	385
EOG090X03KZ	Complete	GEYB01096830.1	340.5	470
EOG090X03LH	Duplicated	GEYB01104877.1	503.2	307
EOG090X03LH	Duplicated	GEYB01104878.1	471.2	282
EOG090X03LH	Duplicated	GEYB01104881.1	503.9	307
EOG090X03M6	Duplicated	GEYB01010594.1	816.2	459
EOG090X03M6	Duplicated	GEYB01010595.1	816.2	459
EOG090X03NS	Duplicated	GEYB01049480.1	633.0	431
EOG090X03NS	Duplicated	GEYB01049481.1	633.2	431
EOG090X03O4	Complete	GEYB01099358.1	848.0	421
EOG090X03P9	Complete	GEYB01082477.1	273.5	472
EOG090X03QA	Complete	GEYB01095931.1	668.0	476
EOG090X03QF	Duplicated	GEYB01115937.1	380.9	323
EOG090X03QF	Duplicated	GEYB01115939.1	379.1	323
EOG090X03QT	Complete	GEYB01019668.1	771.5	511
EOG090X03QW	Duplicated	GEYB01138447.1	655.4	380
EOG090X03QW	Duplicated	GEYB01138448.1	655.5	380
EOG090X03R5	Duplicated	GEYB01106321.1	829.7	459
EOG090X03R5	Duplicated	GEYB01106323.1	828.8	486
EOG090X03R5	Duplicated	GEYB01106324.1	829.5	459
EOG090X03RD	Duplicated	GEYB01114368.1	370.4	217
EOG090X03RD	Duplicated	GEYB01114369.1	338.9	206
EOG090X03RJ	Duplicated	GEYB01020530.1	656.2	407
EOG090X03RJ	Duplicated	GEYB01020533.1	657.2	407
EOG090X03RJ	Duplicated	GEYB01020534.1	656.3	407
EOG090X03RP	Complete	GEYB01062948.1	614.8	318
EOG090X03S1	Complete	GEYB01084408.1	768.9	465
EOG090X03SL	Complete	GEYB01137955.1	788.4	468
EOG090X03ST	Complete	GEYB01026436.1	458.7	413
EOG090X03SX	Duplicated	GEYB01036166.1	434.9	499
EOG090X03SX	Duplicated	GEYB01036167.1	419.6	514
EOG090X03SX	Duplicated	GEYB01036169.1	443.6	512
EOG090X03T7	Complete	GEYB01023278.1	395.8	393
EOG090X03TK	Complete	GEYB01071845.1	643.9	363
EOG090X03TW	Complete	GEYB01071919.1	234.0	385
EOG090X03TX	Duplicated	GEYB01126154.1	517.9	509
EOG090X03TX	Duplicated	GEYB01126155.1	452.3	438
EOG090X03U0	Complete	GEYB01134571.1	844.5	476
EOG090X03UT	Duplicated	GEYB01114087.1	674.5	389
EOG090X03UT	Duplicated	GEYB01114088.1	674.5	389
EOG090X03V0	Duplicated	GEYB01033223.1	199.3	258
EOG090X03V0	Duplicated	GEYB01033224.1	204.7	258
EOG090X03VW	Complete	GEYB01062223.1	894.1	461
EOG090X03WO	Complete	GEYB01062581.1	381.1	283
EOG090X03YC	Duplicated	GEYB01032570.1	143.9	161
EOG090X03YC	Duplicated	GEYB01032575.1	143.6	161
EOG090X03YC	Duplicated	GEYB01032576.1	143.6	161
EOG090X03YJ	Complete	GEYB01090521.1	476.5	341
EOG090X03YR	Duplicated	GEYB01123770.1	370.2	408
EOG090X03YR	Duplicated	GEYB01123773.1	370.1	408
EOG090X03YR	Duplicated	GEYB01123774.1	370.0	408
EOG090X03ZI	Complete	GEYB01111825.1	732.3	492
EOG090X0424	Complete	GEYB01114770.1	492.9	346
EOG090X0431	Duplicated	GEYB01122668.1	325.3	230
EOG090X0431	Duplicated	GEYB01122669.1	325.8	230
EOG090X0438	Duplicated	GEYB01037663.1	521.2	382
EOG090X0438	Duplicated	GEYB01037664.1	502.6	387
EOG090X0439	Missing
EOG090X043F	Complete	GEYB01025233.1	502.4	413
EOG090X043H	Duplicated	GEYB01119911.1	503.6	526
EOG090X043H	Duplicated	GEYB01119914.1	462.0	499
EOG090X043H	Duplicated	GEYB01119915.1	502.0	518
EOG090X044C	Complete	GEYB01038082.1	602.8	379
EOG090X0464	Duplicated	GEYB01096411.1	62.3	126
EOG090X0464	Duplicated	GEYB01096412.1	61.9	126
EOG090X0464	Duplicated	GEYB01096413.1	62.4	126
EOG090X047B	Duplicated	GEYB01032956.1	537.2	391
EOG090X047B	Duplicated	GEYB01032957.1	536.9	390
