# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/transcriptomes/GEXX01.1.fsa_nt -o A_coleoptrara.A_coleoptrata.GEXX01.1 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m transcriptome -c 8 --long
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	GEXX01051777.1	1627.0	3624
EOG090X0007	Duplicated	GEXX01051778.1	1638.2	3655
EOG090X002Z	Missing
EOG090X005G	Complete	GEXX01092998.1	2792.4	1909
EOG090X005Q	Complete	GEXX01108369.1	1307.2	1218
EOG090X0064	Complete	GEXX01123152.1	3094.6	1509
EOG090X00BV	Complete	GEXX01007605.1	1187.0	943
EOG090X00BY	Complete	GEXX01098713.1	2667.0	1646
EOG090X00DN	Complete	GEXX01092204.1	1502.4	1043
EOG090X00E0	Complete	GEXX01111543.1	654.9	873
EOG090X00FC	Duplicated	GEXX01070625.1	997.3	715
EOG090X00FC	Duplicated	GEXX01070626.1	997.5	715
EOG090X00GC	Duplicated	GEXX01004621.1	1920.5	863
EOG090X00GC	Duplicated	GEXX01004622.1	1920.3	863
EOG090X00GO	Complete	GEXX01034805.1	2210.6	1030
EOG090X00HD	Complete	GEXX01006918.1	1452.5	960
EOG090X00HY	Complete	GEXX01102690.1	1714.7	1083
EOG090X00I4	Duplicated	GEXX01022671.1	855.8	750
EOG090X00I4	Duplicated	GEXX01022672.1	855.0	750
EOG090X00J5	Complete	GEXX01040063.1	1520.7	931
EOG090X00JH	Duplicated	GEXX01031478.1	540.3	312
EOG090X00JH	Duplicated	GEXX01031485.1	540.2	312
EOG090X00LI	Duplicated	GEXX01081631.1	1741.1	941
EOG090X00LI	Duplicated	GEXX01081632.1	1741.0	941
EOG090X00LI	Duplicated	GEXX01081634.1	1740.0	941
EOG090X00M6	Complete	GEXX01103053.1	1415.2	917
EOG090X00MP	Complete	GEXX01103940.1	856.4	528
EOG090X00NX	Duplicated	GEXX01101068.1	1348.9	864
EOG090X00NX	Duplicated	GEXX01101069.1	1348.8	864
EOG090X00NX	Duplicated	GEXX01101070.1	1348.9	864
EOG090X00PD	Complete	GEXX01002430.1	459.7	849
EOG090X00QE	Duplicated	GEXX01048470.1	799.2	618
EOG090X00QE	Duplicated	GEXX01048472.1	690.9	501
EOG090X00QS	Duplicated	GEXX01054040.1	696.2	633
EOG090X00QS	Duplicated	GEXX01054041.1	696.9	633
EOG090X00RF	Complete	GEXX01095950.1	876.9	864
